MFP Name,Updated PW(See LastPass.com),Model,Updated IP,Hostname (.resource.dyn.umd.edu),Post Migration IP,CNR Changes,Connected to Switch,Pharos Login Updated?,Marley for Scan To Email,Firewall Updated?,UBT ID #,Mac Address,Serial #,Bldg #,Bldg Name,Room,Contact Person,Toner Shipping Address,UBT Model Number
HBK_4F_PR1,Yes,Canon iR-ADV C3935i,10.205.3.16,HBK_4F_PR1,10.181.1.109,TRUE,No,FALSE,TRUE,Yes - UNCONFIRMED,86990,40F8DF65A0D8,4LM06943,147,Hornbake - Prange,4200,Kana Jenkins,,
,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
McKeldin ,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
ATLABCanonMFP1,Yes,Canon iR-ADV C3935i,10.225.192.96,Not ours I think,,FALSE,,FALSE,FALSE,Yes,86971,40F8DF640EF6,4LM05197,35,McKeldin Library,1103,Daniel Newsome,,
LIB-Mck1FCanonMFP1 ,Yes,Canon iPR C265,10.204.22.11 ,LIB-Mck1FCanonMFP1 ,,FALSE,Yes (Needs jack),TRUE,TRUE,Yes,86918,DCC2C989FADA,35Q05417,35,McKeldin Library,1100,James Spring ,,
LIB-Mck1FCanonMFP2,Yes,Canon iPR C265,10.204.22.12,LIB-Mck1FCanonMFP2,,FALSE,Yes  ,TRUE,TRUE,Yes - UNCONFIRMED,86939,5C625AF43559,35Q04682,35,McKeldin Library,1100,James Spring ,,
LIB-Mck1FCanonMFP3 (NO PAPERWORK),Yes,Canon iPR C265,10.204.22.13,LIB-Mck1FCanonMFP3,,FALSE,Yes (does not need to be),TRUE,TRUE,Temporarily Removed,86864,5C625AF432C6,35Q04558,35,McKeldin Library,1100,James Spring ,,
LIB-Mck1FCanonMFP5 (NO PAPERWORK),Yes,Canon iPR C265,10.204.22.15 ,LIB-Mck1FCanonMFP5 ,,FALSE,No,TRUE,TRUE,Unknown,86859,5C625AF3F885,35Q04347,35,McKeldin Library,1100,James Spring ,,
LIB-Mck2FCanonMFP1,Yes,Canon iR-ADV C3935i,10.204.22.17 ,LIB-Mck2FCanonMFP1,,FALSE,No,TRUE,TRUE,Yes - UNCONFIRMED,86986,40F8DF6478F5,4LM05656,35,McKeldin Library,2nd Floor - Rt Exterior of TLC,Kesavan Kumar,,
LIB-Mck2FCanonMFP2,Yes,Canon iR-ADV C3935i,10.204.22.18,LIB-Mck2FCanonMFP2,,FALSE,No,TRUE,TRUE,Yes - UNCONFIRMED,86867,40F8DF64D209,4LM06821,35,McKeldin Library,2121,Kesavan Kumar,,
HP Designjet Z5400 PostScript,,,10.204.22.20,,,FALSE,Yes,FALSE,FALSE,,,,,35,McKeldin Library,2nd Floor - Behind Exterior of TLC,,,
HP DesignJet T2600 Postscript MFP,,,10.204.22.21,LIB-Mck2FPlotter3,,FALSE,Yes,FALSE,FALSE,,,,,35,McKeldin Library,2nd Floor - Behind Exterior of TLC,,,
HP DesignJet T2500 PostScript,,,10.204.22.19,,,FALSE,Yes,FALSE,FALSE,,,,,35,McKeldin Library,2nd Floor - Behind Exterior of TLC,,,
LIB-Mck6FCanonMFP1 (NO PAPERWORK),,Canon iR-ADV C5535i,10.204.22.8,,,FALSE,Couldn't find,,FALSE,,70196,60128BD28F2E,WXF14075,35,McKeldin Library,6th Floor - Double Elevators,Kesavan Kumar,,
MCK_4F_PR2 (NO PAPERWORK),Yes,Canon iR-ADV C3935i,10.204.152.11,MCK_4F_PR2,,FALSE,No,FALSE,TRUE,Yes - UNCONFIRMED,86865,40F8DF6264E2,4LM02761,35,McKeldin Library,4118,Chamisa Carson,,
MCK_BF_PR2,Yes,Canon iR-ADV C3935i,10.204.152.12,MCK_BF_PR2,,FALSE,No,FALSE,TRUE,Yes - UNCONFIRMED,86959,40F8DF63C831,4LM05178,35,McKeldin Library,B0116,Judith Kidd,,
MCK_BF_PR3,Yes,Canon C3935i,10.204.152.13,MCK_BF_PR3,,FALSE,Couldn't find,FALSE,TRUE,Yes - UNCONFIRMED,86968,40F8DF61A6DB,4LN00647,35,McKeldin Library - Preservation,B0217,Carla Montori,,
MCK_BF_PR5,Yes,Canon 4925i,10.204.152.14,MCK_BF_PR5,,FALSE,Couldn't find,FALSE,TRUE,Yes - UNCONFIRMED,86938,40F8DF64D4A2,4PL04082,35,McKeldin Library,B0236,David Wilt,,
MCK_1F_PR2,Yes,Canon iR-ADV C3935i,10.204.152.15/10.204.152.89,MCK_1F_PR2,,FALSE,Couldn't find,FALSE,TRUE,Yes - UNCONFIRMED,86988,40F8DF64D5D2,4LM06940,35,McKeldin Library,1138,James Spring ,,
MCK_1F_PR3,Yes,Canon C3935i,10.204.152.16,MCK_1F_PR3,,FALSE,Yes,FALSE,TRUE,Yes ,86989,40F8DF6523B1,4LM06942,35,McKeldin Library,1138,James Spring ,,
MCK_1F_PR4,Yes,Canon iR-ADV C3935i,10.204.152.17,MCK_1F_PR4,,FALSE,Couldn't find,FALSE,TRUE,Yes,86972,40F8DF63D2D6,4LM05659,35,McKeldin Library,1109,Christopher Bunn,,
MCK_2F_PR2,Yes,Canon iR-ADV C3935i,10.204.152.18,MCK_2F_PR2,,FALSE,Couldn't find,FALSE,TRUE,Yes,86955,40F8DF64D207,4LM06831,35,McKeldin Library,2200B,Rebecca Goldfinger ,,
MCK_3F_PR1,Yes,Canon 4925i,10.204.152.20 ,MCK_3F_PR1,,FALSE,Yes,FALSE,TRUE,Yes - UNCONFIRMED,86919,,4PL04078,35,McKeldin Library - Stacks,3100J,Anna Nabity,,
MCK_4F_PR1,,Canon iR-ADV C5535i,10.204.152.22,MCK_4F_PR1,,FALSE,Yes,FALSE,FALSE,,,,,,,,,,
MCK_4F_PR3,Yes,Canon C3935i,10.204.152.23 ,MCK_4F_PR3,,FALSE,No,FALSE,TRUE,Yes,87011,40F8DF64D5D3,4LM06955,35,McKeldin Library - Public Service,4119,Milan Budhathoki,,
MCK_5F_PR1,Yes,Canon C3935i,10.204.152.24,MCK_5F_PR1,,FALSE,Couldn't find,FALSE,TRUE,Yes,86979,40F8DF63CA9F,4LM05198,35,McKeldin Library - Humanities,4233,Tahirah Akbar-Williams,,
MCK_6F_PR1,Yes,Canon iR-ADV C3935i,10.204.152.25,MCK_6F_PR1,,FALSE,No,FALSE,TRUE,Yes,87010,40F8DF6523B0,4LM06947,35,McKeldin Library - Dean's Area,6131,Judith Kidd,,
MCK_6F_PR2,Yes,Canon iR-ADV C3935i,10.204.152.26,MCK_6F_PR2,,FALSE,No,FALSE,TRUE,Yes,86985,40F8DF647903,4LM05584,35,McKeldin Library - Budget Office,5101D,Tonita Brooks,,
MCK_6F_PR4,Yes,Canon iR-ADV C3935i,10.204.152.27,MCK_6F_PR4,,FALSE,Couldn't find,FALSE,TRUE,Yes,86984,40F8DF61A71F,4LN00688,35,McKeldin Library - Graphics,6115,Tory Salvador,,
MCK_7F_PR1,Yes,Canon iR-ADV C3935i,10.204.152.28,MCK_7F_PR1,,FALSE,Couldn't find,FALSE,TRUE,Yes - UNCONFIRMED,86969,40F8DF647006,4LM05175,35,McKeldin Library - HR,7109,Lisa Warner,,
Performing Arts,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
LIB-PALCanonMFP1,Yes,Canon iR-ADV 3935i,10.204.145.28 ,LIB-PALCanonMFP1,,TRUE,No,TRUE,TRUE,Yes - UNCONFIRMED,87007,40F8DF63ECA3,4LM06824,386,Performing Arts,1514A,Bruce Tennant,,
LIB-PALCanonMFPBW2 / PALMFP2,PARTIAL,Canon iR-ADV 4925i,10.204.145.31,LIB-PALCanonMFPBW2,,TRUE,No,TRUE,TRUE,Yes - UNCONFIRMED,86949,40F8DF652273,4PL04080,386,Performing Arts,1514A,Bruce Tennant,,
LIB-PALCanonMFPBW3 / PALMFP3,PARTIAL,Canon iR-ADV 4525i,10.204.145.45 ,LIB-PALCanonMFPBW3,,TRUE,"Yes, Jacks are close",TRUE,TRUE,Yes - UNCONFIRMED,86948,40F8DF65227A,4PL04074,386,Performing Arts,1514A,Bruce Tennant,,
PAL_1F_PR1,Yes,Canon iR-ADV 4925i,10.204.147.140,PAL_1F_PR1,,FALSE,No,FALSE,TRUE,,86941,40F8DF64921E,4PL04085,386,Performing Arts,Behind Circ Desk,James Michael Homme,,Received confirmation from Michael Homme about Printer ID and IP Address on 12/04/24
PAL_1F_PR2,Yes,Canon iR-ADV 3935i,10.204.147.141,PAL_1F_PR2,,FALSE,Don't think so,FALSE,TRUE,Yes - UNCONFIRMED,87014,40F8DF64E9DB,4LM06946,386,Performing Arts, 1517C,Vincent Novara,,
PAL_2F_PR1,Yes,Canon iR-ADV 3935i,10.204.147.142,PAL_2F_PR1,,FALSE,No,FALSE,TRUE,Yes - UNCONFIRMED,87009,40F8DF64F3D0,4LM07602,386,Performing Arts,2511 - Admin Suite,Steve Henry,,Received confirmation from Michael Homme about Printer ID and IP Address on 12/04/24
Severn,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
SVN_1F_PR2,Yes,Canon iR-ADV C3935i,10.204.130.139,SVN_1F_PR2,,FALSE,,FALSE,TRUE,Yes - UNCONFIRMED,87012,40F8DF64E9DE ,4LM06951 ,810,Severn Library,208,Arthur Natishan,,
STEM,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
LIB-EPSL1FCanonMFP1,Yes,Canon iR-ADV C3935i,10.204.141.204 ,LIB-EPSL1FCanonMFP1,,TRUE,No,TRUE,TRUE,,86992,40F8DF64E9DD ,4LM06956,84,STEM Library,1403B ,Mutlu Pinar Beygo,,
LIB-EPSL1FCanonMFP2,Yes,Canon iR-ADV C3935i,10.204.141.142 ,LIB-EPSL1FCanonMFP2,,TRUE,Possibly in a switch within the KIC. Free ports are availble (),TRUE,TRUE,,86954,40F8DF648FB4 ,4LM06814,84,STEM Library,1403B,Mutlu Pinar Beygo,,
EPL_1F_PR1 ,Yes,Canon iR-ADV 4925i,10.204.146.3,EPL_1F_PR1 ,,FALSE,No,FALSE,TRUE,Yes - UNCONFIRMED,86942,40F8DF63EF7C,4PL04067,84,STEM Library,2403E,Mutlu Pinar Beygo,,Suggest re-confirming the information
McKeldin?,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
Coding ,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
"Not a printer, no paperwork, or removed/replaced machine",,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
Public Machines,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
"Unconfirmed info., unless stated otherwise ",,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,
